num visits,num species,NLCD2011_FS_C11_375_PLAND,NLCD2011_FS_C12_375_PLAND,NLCD2011_FS_C21_375_PLAND,NLCD2011_FS_C22_375_PLAND,NLCD2011_FS_C23_375_PLAND,NLCD2011_FS_C24_375_PLAND,NLCD2011_FS_C31_375_PLAND,NLCD2011_FS_C41_375_PLAND,NLCD2011_FS_C42_375_PLAND,NLCD2011_FS_C43_375_PLAND,NLCD2011_FS_C52_375_PLAND,NLCD2011_FS_C71_375_PLAND,NLCD2011_FS_C81_375_PLAND,NLCD2011_FS_C82_375_PLAND,NLCD2011_FS_C90_375_PLAND,NLCD2011_FS_C95_375_PLAND,HOUSING_DENSITY,HOUSING_PERCENT_VACANT,ELEV_GT,DIST_FROM_FLOWING_FRESH,DIST_IN_FLOWING_FRESH,DIST_FROM_STANDING_FRESH,DIST_IN_STANDING_FRESH,DIST_FROM_WET_VEG_FRESH,DIST_IN_WET_VEG_FRESH,DIST_FROM_FLOWING_BRACKISH,DIST_IN_FLOWING_BRACKISH,DIST_FROM_STANDING_BRACKISH,DIST_IN_STANDING_BRACKISH,DIST_FROM_WET_VEG_BRACKISH,DIST_IN_WET_VEG_BRACKISH,LATITUDE,LONGITUDE,LOC_ID
442.00000,253.00000,6.28591,0.00000,16.03328,40.43913,43.73739,9.16388,0.10346,58.91408,1.54505,4.25814,0.60381,0.57589,95.06668,56.99898,14.92578,0.52750,183.10064,0.03571,30.00000,3.00000,9.00000,6.00000,6.00000,8.00000,5.00000,8.00000,8.00000,1.00000,2.00000,7.00000,4.00000,42.00000,-75.00000,0.23824
667.00000,171.00000,78.85347,0.00000,0.45790,28.87364,26.92902,3.48846,0.99975,37.82689,7.22968,8.00157,6.52873,0.30611,53.23846,5.11961,1.56292,1.56754,365.36948,0.04125,310.00000,4.00000,4.00000,9.00000,6.00000,1.00000,5.00000,6.00000,2.00000,6.00000,0.00000,3.00000,2.00000,42.00913,-75.00913,0.34710
700.00000,397.00000,85.03093,0.00000,15.12314,43.83042,44.14839,12.57837,1.92170,98.10446,17.05676,12.45789,16.09526,0.89967,34.86844,76.05941,1.92442,1.44886,308.72177,0.03992,161.00000,2.00000,2.00000,8.00000,3.00000,5.00000,1.00000,6.00000,9.00000,6.00000,1.00000,6.00000,9.00000,42.01826,-75.01826,0.72916
114.00000,294.00000,43.54260,0.00000,16.58324,38.80307,41.70182,3.05731,1.09572,82.34271,12.88363,10.43246,7.43118,1.90649,18.04304,57.21876,1.14821,1.59065,201.08934,0.02154,121.00000,0.00000,5.00000,3.00000,9.00000,2.00000,1.00000,4.00000,6.00000,4.00000,1.00000,8.00000,5.00000,42.02740,-75.02740,0.51103
855.00000,230.00000,52.23397,0.00000,14.49198,16.49359,46.79457,10.47602,0.69331,29.79456,16.05163,15.17308,7.27427,0.37878,12.78773,14.01477,9.63608,0.19432,432.63650,0.06965,121.00000,3.00000,8.00000,3.00000,1.00000,0.00000,8.00000,8.00000,9.00000,8.00000,7.00000,6.00000,9.00000,42.03653,-75.03653,0.33863
519.00000,458.00000,35.70357,0.00000,2.81849,20.72224,36.94466,2.41264,0.57535,94.09516,9.36104,5.79969,15.21194,1.65300,62.50970,62.31162,6.03587,1.91476,469.89017,0.00341,6.00000,1.00000,1.00000,2.00000,7.00000,9.00000,2.00000,0.00000,8.00000,4.00000,1.00000,3.00000,3.00000,42.04566,-75.04566,0.63088
925.00000,279.00000,17.22024,0.00000,7.20617,34.32096,31.89686,15.86898,1.53503,97.12330,1.33218,18.27521,7.22251,0.28684,3.86007,30.40196,1.72904,1.31798,292.12091,0.00852,205.00000,2.00000,9.00000,9.00000,4.00000,8.00000,7.00000,0.00000,1.00000,5.00000,6.00000,6.00000,9.00000,42.05479,-75.05479,0.42087
497.00000,229.00000,83.95546,0.00000,9.76788,45.08026,18.32388,1.83452,1.91270,40.13527,6.67169,14.44670,2.70169,1.84767,19.12614,72.51191,10.26626,0.63454,97.77148,0.09491,255.00000,0.00000,3.00000,7.00000,8.00000,9.00000,0.00000,5.00000,9.00000,9.00000,3.00000,5.00000,2.00000,42.06393,-75.06393,0.47044
328.00000,61.00000,16.76869,0.00000,16.01440,11.19127,41.22309,1.56117,0.06832,81.63722,12.12938,11.19532,14.38023,0.55889,42.63728,75.35772,13.63652,1.72954,219.60902,0.01036,201.00000,4.00000,4.00000,8.00000,9.00000,7.00000,4.00000,7.00000,1.00000,0.00000,9.00000,5.00000,6.00000,42.07306,-75.07306,0.39053
263.00000,6.00000,38.17080,0.00000,10.50999,17.33284,40.20854,8.24051,1.65266,82.80988,3.87122,12.25045,8.14085,1.65783,94.56072,66.29482,14.96382,0.73978,433.69136,0.04646,477.00000,4.00000,5.00000,0.00000,0.00000,5.00000,5.00000,9.00000,3.00000,1.00000,1.00000,3.00000,5.00000,42.08219,-75.08219,0.50421
362.00000,16.00000,75.61489,0.00000,15.50808,6.19433,6.90388,4.40794,1.95333,5.96073,16.80708,15.74958,10.00142,0.19156,14.93739,3.61683,13.07234,1.40862,218.10246,0.09449,226.00000,2.00000,2.00000,8.00000,7.00000,6.00000,2.00000,6.00000,7.00000,3.00000,4.00000,7.00000,3.00000,42.09132,-75.09132,0.70035
